"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",7.2,"
"AUT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",7.2,"
"AUT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",7.2,"
"BEL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",7.8,"
"BEL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",8.2,"
"BEL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",8.1,"
"CZE,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",9.4,"
"CZE,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",9.5,"
"CZE,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",9.6,"
"DNK,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",6.1,"
"DNK,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",5.6,"
"DNK,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.8,"
"FIN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",8.3,"
"FIN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",7.7,"
"FIN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",8.3,"
"FRA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",4.3,"
"FRA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",4.4,"
"FRA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",4.4,"
"DEU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",8.9,"
"DEU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",8.9,"
"DEU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",8.9,"
"GRC,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",6,"
"GRC,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",6,"
"GRC,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.9,"
"HUN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",4.1,"
"HUN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",4.3,"
"HUN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",4.5,"
"IRL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",7.4,"
"IRL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",7.6,"
"IRL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",7.9,"
"ITA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",5.3,"
"ITA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",5.4,"
"ITA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.4,"
"LUX,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",16.6,"
"LUX,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",15.5,"
"LUX,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",14.5,"
"NLD,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",8.8,"
"NLD,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",9.2,"
"NLD,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",9.2,"
"POL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",7.3,"
"POL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",7.4,"
"POL,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",7.6,"
"PRT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",4.1,"
"PRT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",4.5,"
"PRT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",4.6,"
"SVK,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",5.4,"
"SVK,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",5.4,"
"SVK,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.6,"
"ESP,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",5,"
"ESP,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",5.3,"
"ESP,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.1,"
"SWE,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.8,"
"SWE,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.8,"
"SWE,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.8,"
"GBR,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",6.3,"
"GBR,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",6,"
"GBR,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.7,"
"BGR,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",5.8,"
"BGR,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",6.1,"
"BGR,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",5.7,"
"HRV,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.6,"
"HRV,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.7,"
"HRV,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.8,"
"CYP,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",6.7,"
"CYP,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",7,"
"CYP,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",7.4,"
"EST,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",13.2,"
"EST,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",11.5,"
"EST,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",12.4,"
"LVA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.4,"
"LVA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.5,"
"LVA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.5,"
"LTU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.6,"
"LTU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.6,"
"LTU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.7,"
"MLT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",5.5,"
"MLT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.8,"
"MLT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.1,"
"ROU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.4,"
"ROU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.5,"
"ROU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.4,"
"SVN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",6.2,"
"SVN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",6.2,"
"SVN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",6.6,"
